prod_ai,brand,brand_options,n_pts,label_generic,label_effective_time
QUINIDINE SULFATE,QUINIDINE SULFATE,Dextromethorphan hydrobromide and quinidine sulfate (1) | NUEDEXTA (1) | Nuedexta (1) | QUINIDINE SULFATE (1),29,DEXTROMETHORPHAN HYDROBROMIDE AND QUINIDINE SULFATE,20260122
RASAGILINE,Rasagiline,Rasagiline (7) | RASAGILINE (3),38,RASAGILINE,20260626
RAVULIZUMAB,Ultomiris,Ultomiris (1),46,RAVULIZUMAB,20251009
RESMETIROM,REZDIFFRA,REZDIFFRA (1),41,RESMETIROM,20251222
REVUMENIB CITRATE,Revuforj,Revuforj (1),28,REVUMENIB,20260204
RIBAVIRIN,Ribavirin,Ribavirin (4) | RIBAVIRIN (2) | Ribavirinum (1),33,RIBAVIRIN,20240209
RIFAXIMIN,XIFAXAN,XIFAXAN (3),41,RIFAXIMIN,20250827
ROMOSOZUMAB,Evenity,Evenity (1),26,ROMOSOZUMAB-AQQG,20260108
RUCAPARIB CAMSYLATE,Rubraca,Rubraca (1),24,RUCAPARIB,20251231
RUFINAMIDE,Rufinamide,Rufinamide (11) | RUFINAMIDE (3) | Banzel (1) | rufinamide (1),20,RUFINAMIDE,20260612
SELPERCATINIB,RETEVMO,RETEVMO (1),33,SELPERCATINIB,20251120
TAFAMIDIS MEGLUMINE,Vyndamax,Vyndamax (1) | Vyndaqel (1),34,TAFAMIDIS MEGLUMINE,20260512
TALIGLUCERASE ALFA,ELELYSO,ELELYSO (1),30,TALIGLUCERASE ALFA,20251229
TARLATAMAB-DLLE,IMDELLTRA (AMG757),IMDELLTRA (AMG757) (1),25,TARLATAMAB-DLLE,20251119
TENECTEPLASE,TNKase,TNKase (2),22,TENECTEPLASE,20251215
TEPLIZUMAB-MZWV,TZIELD,TZIELD (1),31,TEPLIZUMAB-MZWV,20260619
TESTOSTERONE CYPIONATE,Testosterone Cypionate,Testosterone Cypionate (28) | testosterone cypionate (8) | Depo-Testosterone (3) | TESTOSTERONE CYPIONATE (2) | AZMIRO (1),20,TESTOSTERONE CYPIONATE,20260610
THIOGUANINE,TABLOID,TABLOID (1),30,THIOGUANINE,20250108
TILDRAKIZUMAB,ILUMYA,ILUMYA (1),22,TILDRAKIZUMAB-ASMN,20251225
TRAVOPROST,Travoprost Ophthalmic,"Travoprost Ophthalmic (4) | Travoprost (3) | Travatan Z (2) | Travoprost Ophthalmic Solution (2) | Travoprost ophthalmic solution (2) | Travoprost Ophthalmic Solution USP, 0.004% Travoprost (1) | Travoprost Ophthalmic Solution, 0.004% (1) | Travoprost Ophthalmic Soluton (1) | iDose TR (1)",25,TRAVOPROST OPHTHALMIC SOLUTION,20260528
TRIAZOLAM,Triazolam,Triazolam (10),20,TRIAZOLAM,20260401
TRIPTORELIN,TRIPTODUR,TRIPTODUR (1),31,TRIPTORELIN,20250914
VALBENAZINE,INGREZZA,INGREZZA (1) | INGREZZA Sprinkle (1),33,VALBENAZINE,20260417
VEMURAFENIB,ZELBORAF,ZELBORAF (1),28,VEMURAFENIB,20251201
VILOXAZINE HYDROCHLORIDE,QELBREE,QELBREE (1),33,VILOXAZINE HYDROCHLORIDE,20251205
ZOLMITRIPTAN,Zolmitriptan,Zolmitriptan (18) | zolmitriptan (4) | ZOMIG (2) | Zolmitriptan OD (2) | zolmiptriptan (1),39,ZOLMITRIPTAN,20260416
